Rank,Player,Nation,Position,Squad,Age,Year of Birth,Matches Played,Starts,Minutes,Minutes Played Divided By 90,Goals,Assists,Goals and Assists,Non-penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,Goals and Assists per 90,Non-penalty Goals per 90,Goals and Assists minus Penalty Kicks per 90
1,Sahal Abdul Samad,inIND,MF,Mohun Bagan,27.0,1997.0,17,8,680,7.6,0,1,1,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13
2,Ayush Adhikari,inIND,MF,Hyderabad FC,24.0,2000.0,20,8,807,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
3,Joseph Adjei,ghGHA,DF,Mohammedan,28.0,1995.0,6,5,432,4.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
4,Mohammed Aimen,inIND,MF,Kerala Blasters,21.0,2003.0,10,5,396,4.4,0,3,3,0,0,0,1,0,0.0,0.68,0.68,0.0,0.68
5,Alaeddine Ajaraie,maMAR,"FW,MF",NorthEast Utd,31.0,1993.0,24,23,2055,22.8,23,7,30,21,2,4,2,0,1.01,0.31,1.31,0.92,1.23
6,Asheer Akhtar,inIND,DF,NorthEast Utd,29.0,1994.0,21,21,1881,20.9,1,0,1,1,0,0,4,1,0.05,0.0,0.05,0.05,0.05
7,Andrei Alba,brBRA,MF,Hyderabad FC,29.0,1995.0,20,20,1716,19.1,3,1,4,2,1,2,3,0,0.16,0.05,0.21,0.1,0.16
8,Alberto,esESP,DF,Mohun Bagan,31.0,1992.0,19,19,1700,18.9,5,1,6,5,0,0,6,0,0.26,0.05,0.32,0.26,0.32
9,Néstor Albiach,esESP,"MF,FW",NorthEast Utd,31.0,1992.0,24,16,1411,15.7,6,1,7,6,0,0,1,0,0.38,0.06,0.45,0.38,0.45
10,Tom Aldred,sctSCO,DF,Mohun Bagan,33.0,1990.0,23,22,1965,21.8,2,1,3,2,0,0,5,0,0.09,0.05,0.14,0.09,0.14
11,Anwar Ali,inIND,"DF,MF",East Bengal,23.0,2000.0,18,17,1488,16.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
12,Mohammed Ali Bemammer,maMAR,MF,NorthEast Utd,34.0,1989.0,21,20,1735,19.3,3,1,4,3,0,0,9,1,0.16,0.05,0.21,0.16,0.21
